Team,GW,PF,OYds,PCmp,PAtt,Cmp,Pyds,PTD,Int,P1stD,RAtt,Ryds,RTD,R1stD,Playoffs,Wseason,TO
Los Angeles Rams,13,527,6738,368,568,0.648,4507,32,12,236,459,2231,23,134,1,1,19
New Orleans Saints,13,504,6067,381,519,0.734,4042,33,7,210,471,2025,26,134,1,1,16
Chicago Bears,12,421,5502,344,512,0.672,3564,28,14,177,468,1938,16,108,1,1,24
Kansas City Chiefs,12,565,6810,385,583,0.66,4955,50,12,239,387,1855,16,108,1,1,18
Los Angeles Chargers,12,428,5962,348,512,0.68,4089,32,12,213,399,1873,16,100,1,1,19
Houston Texans,11,402,5802,345,506,0.682,3781,26,9,202,472,2021,12,94,1,1,16
New England Patriots,11,436,6295,378,574,0.659,4258,29,11,206,478,2037,18,131,1,1,18
Baltimore Ravens,10,389,5999,334,556,0.601,3558,18,9,184,547,2441,19,153,1,1,20
Dallas Cowboys,10,339,5501,356,527,0.676,3538,22,8,184,439,1963,13,113,1,1,17
Indianapolis Colts,10,433,6179,432,644,0.671,4461,39,15,237,408,1718,13,96,1,1,24
Seattle Seahawks,10,428,5653,280,427,0.656,3093,35,7,156,534,2560,15,133,1,1,11
Philadelphia Eagles,9,367,5845,422,599,0.705,4275,29,11,221,398,1570,12,94,1,1,23
Pittsburgh Steelers,9,428,6453,459,689,0.666,5008,35,17,251,345,1445,16,88,0,1,26
Tennessee Titans,9,310,5002,293,437,0.67,2975,16,12,156,456,2027,15,106,0,1,18
Minnesota Vikings,8,360,5529,425,606,0.701,4036,30,10,218,357,1493,9,66,0,1,20
Atlanta Falcons,7,414,6226,428,617,0.694,4653,36,7,238,351,1573,11,84,0,0,18
Carolina Panthers,7,376,5972,378,563,0.671,3836,28,16,212,416,2136,17,117,0,0,22
Cleveland Browns,7,359,5900,353,574,0.615,4007,29,17,189,411,1893,15,93,0,0,24
Miami Dolphins,7,319,4638,292,455,0.642,2900,26,13,153,371,1738,7,75,0,0,23
Washington Redskins,7,281,4795,311,509,0.611,3021,16,15,156,414,1774,12,96,0,0,19
Buffalo Bills,6,269,4778,271,499,0.543,2794,13,23,137,468,1984,15,108,0,0,32
Cincinnati Bengals,6,368,4972,331,542,0.611,3290,27,13,182,359,1682,13,92,0,0,17
Denver Broncos,6,329,5602,367,588,0.624,3695,19,15,181,393,1907,18,107,0,0,21
Detroit Lions,6,324,5236,375,574,0.653,3576,22,12,201,404,1660,11,91,0,0,19
Green Bay Packers,6,376,5905,392,640,0.613,4238,25,4,208,333,1667,14,98,0,0,15
Jacksonville Jaguars,5,245,4832,329,536,0.614,3109,15,13,164,416,1723,7,92,0,0,29
New York Giants,5,369,5697,382,583,0.655,4047,23,12,208,354,1650,13,71,0,0,19
Tampa Bay Buccaneers,5,396,6648,408,625,0.653,5125,36,26,265,389,1523,11,80,0,0,35
New York Jets,4,333,4787,299,524,0.571,3165,18,19,157,410,1622,11,84,0,0,30
Oakland Raiders,4,290,5379,382,556,0.687,3751,19,10,197,387,1628,9,86,0,0,24
San Francisco 49ers,4,342,5769,331,532,0.622,3867,26,20,201,423,1902,7,98,0,0,32
Arizona Cardinals,3,225,3865,283,495,0.572,2523,15,18,137,355,1342,9,76,0,0,28
